,JPL_cm
2002-04-30,-10.461947515774428
2002-05-31,-14.930807119243031
2002-06-30,
2002-07-31,
2002-08-31,5.8364408166271815
2002-09-30,13.631826216781148
2002-10-31,10.530258681374145
2002-11-30,1.0281330945588036
2002-12-31,-3.4343370274932563
2003-01-31,-10.311022318530277
2003-02-28,-15.592548199532619
2003-03-31,-19.940151706655826
2003-04-30,-20.798318942131186
2003-05-31,-24.404573554943866
2003-06-30,
2003-07-31,-6.245288248313967
2003-08-31,11.41097042254947
2003-09-30,14.16850289853768
2003-10-31,11.97960505442197
2003-11-30,7.143442335657586
2003-12-31,5.434324685845483
2004-01-31,-1.8173688958090983
2004-02-29,-6.450032160241848
2004-03-31,-14.45358223531678
2004-04-30,-14.92209446654612
2004-05-31,-19.811744318781418
2004-06-30,-15.707246821464334
2004-07-31,-3.830492199430295
2004-08-31,8.821394875685744
2004-09-30,7.234957884428616
2004-10-31,6.485439833426178
2004-11-30,-0.13119334742097621
2004-12-31,-5.356082781220637
2005-01-31,-13.087820164124407
2005-02-28,-15.310976442794868
2005-03-31,-19.109731561118778
2005-04-30,-22.06506377199664
2005-05-31,-25.31991408505377
2005-06-30,-25.512654669095333
2005-07-31,-9.399566591488362
2005-08-31,11.041299421730393
2005-09-30,23.669023767731996
2005-10-31,25.832026462146597
2005-11-30,23.87027353837057
2005-12-31,10.616674489050935
2006-01-31,3.2457371993327513
2006-02-28,-2.3338915197430965
2006-03-31,-3.7652098066694855
2006-04-30,-10.613105764858478
2006-05-31,-12.635383894407902
2006-06-30,-13.919380579855769
2006-07-31,-0.8314954944504187
2006-08-31,20.52909929159967
2006-09-30,21.104284438128673
2006-10-31,21.90109845400706
2006-11-30,14.501075831074049
2006-12-31,9.158331217856679
2007-01-31,0.5021365876309604
2007-02-28,-2.373516312822795
2007-03-31,-8.457726545541796
2007-04-30,-12.505291752062487
2007-05-31,-15.421286386876814
2007-06-30,-6.652262892324094
2007-07-31,12.513571482428942
2007-08-31,17.089376853258077
2007-09-30,25.428726644658433
2007-10-31,27.249591425874794
2007-11-30,18.186167434121668
2007-12-31,9.536934106001505
2008-01-31,3.093873424170698
2008-02-29,-2.1668803785889295
2008-03-31,-2.8248605816122114
2008-04-30,-6.445380540266686
2008-05-31,-13.798657343959608
2008-06-30,-12.649200625695677
2008-07-31,-6.701192497426348
2008-08-31,13.635270059567347
2008-09-30,23.468576769036982
2008-10-31,18.65621496126988
2008-11-30,9.940520935745955
2008-12-31,4.476416955663086
2009-01-31,-2.041335364468152
2009-02-28,-9.21412122862358
2009-03-31,-12.845526136157847
2009-04-30,-14.537075543201937
2009-05-31,-19.882044018216703
2009-06-30,-19.443567459736673
2009-07-31,-7.395376981004768
2009-08-31,2.906135707696732
2009-09-30,11.264772551610447
2009-10-31,14.208665617502579
2009-11-30,8.224557622548767
2009-12-31,3.3471083171192015
2010-01-31,-4.395353208447164
2010-02-28,-8.737893833832988
2010-03-31,-13.84297930466796
2010-04-30,-18.339296034224965
2010-05-31,-21.986595609477686
2010-06-30,-14.724461373903434
2010-07-31,2.3310145846171446
2010-08-31,23.631440593912924
2010-09-30,34.07949951182415
2010-10-31,33.303542344282675
2010-11-30,31.046876343108284
2010-12-31,23.30528215197744
2011-01-31,
2011-02-28,8.697839157630497
2011-03-31,4.000169226313261
2011-04-30,-6.835961675611481
2011-05-31,-10.25267980828697
2011-06-30,
2011-07-31,0.5316222225825107
2011-08-31,13.160110278043549
2011-09-30,24.21473555750364
2011-10-31,20.462533196161708
2011-11-30,15.39704463087976
2011-12-31,
2012-01-31,-1.5625706875252867
2012-02-29,-11.722704924164557
2012-03-31,-14.151819725527444
2012-04-30,-15.8014297531098
2012-05-31,
2012-06-30,-23.753574095840438
2012-07-31,-6.1155553981762
2012-08-31,6.779875286334878
2012-09-30,16.674245731907398
2012-10-31,
2012-11-30,12.492008834541329
2012-12-31,6.344987951610152
2013-01-31,-3.7753351770441586
2013-02-28,-7.526343162101888
2013-03-31,
2013-04-30,-14.488102883309985
2013-05-31,-20.398687735400756
2013-06-30,-11.185912189793271
2013-07-31,9.46241961607489
2013-08-31,
2013-09-30,
2013-10-31,28.458972636600194
2013-11-30,21.115950468689704
2013-12-31,16.365443172471863
2014-01-31,9.999849574619496
2014-02-28,
2014-03-31,-2.778998973967307
2014-04-30,-10.024470916515266
2014-05-31,-11.013847357542263
2014-06-30,-11.382533701627072
2014-07-31,
2014-08-31,5.00149141096339
2014-09-30,20.65059539192767
2014-10-31,17.392364355443853
2014-11-30,10.951330924568879
2014-12-31,
2015-01-31,-5.321266356414694
2015-02-28,-7.538435950253563
2015-03-31,-17.182505655415394
2015-04-30,-17.50484916932966
2015-05-31,
2015-06-30,
2015-07-31,-2.045425325469131
2015-08-31,0.48980293324051677
2015-09-30,6.470659018448725
2015-10-31,
2015-11-30,
2015-12-31,-6.350640549975477
2016-01-31,-9.777229930102388
2016-02-29,-15.415938620893481
2016-03-31,-14.739273066015464
2016-04-30,
2016-05-31,-27.605360935570218
2016-06-30,-21.58309328260755
2016-07-31,-1.0147161702176757
2016-08-31,5.4260087356392575
2016-09-30,
2016-10-31,
2016-11-30,11.11924556897734
2016-12-31,-2.9462659498976915
2017-01-31,1.702416880719989
2017-02-28,
2017-03-31,-11.676827587200897
2017-04-30,-21.71591800773785
2017-05-31,-23.19515260930919
2017-06-30,-19.495767508221427
2017-07-31,
2017-08-31,
2017-09-30,
2017-10-31,
2017-11-30,
2017-12-31,
2018-01-31,
2018-02-28,
2018-03-31,
2018-04-30,
2018-05-31,
2018-06-30,-19.247161531661234
2018-07-31,-7.332798113313422
2018-08-31,
2018-09-30,
2018-10-31,1.3713787610985202
2018-11-30,-4.985924274282196
2018-12-31,-9.322905954701968
2019-01-31,-11.37239860373491
2019-02-28,-16.45347363673028
2019-03-31,-20.136610768646264
2019-04-30,-26.443219066079944
2019-05-31,-31.040795592898778
2019-06-30,-29.372489761219008
2019-07-31,-15.115310449870194
2019-08-31,7.841849825138759
2019-09-30,12.930249857304062
2019-10-31,19.76753648139993
2019-11-30,16.906414785386943
2019-12-31,8.218897474822155
2020-01-31,0.06166967044218074
2020-02-29,-5.606675719985917
2020-03-31,-7.702935528413963
2020-04-30,-13.485084934658914
2020-05-31,-15.433811667267179
2020-06-30,-11.506455629365455
2020-07-31,2.5612879791525707
2020-08-31,19.61678628971193
2020-09-30,31.54166817284626
2020-10-31,34.939673517915985
2020-11-30,26.41468388212031
2020-12-31,17.462344267496725
2021-01-31,10.581629492030121
2021-02-28,3.7737193856607174
2021-03-31,-2.0555099316515943
2021-04-30,-6.0676908671670065
2021-05-31,-8.551145557402092
2021-06-30,-5.154071251101831
2021-07-31,9.310629372069185
2021-08-31,18.31227243359087
2021-09-30,30.93899891267536
2021-10-31,28.36069967230313
2021-11-30,22.11942155262274
2021-12-31,18.35944502513782
2022-01-31,12.479988781796699
2022-02-28,6.954109989231837
2022-03-31,-2.8305999868401557
2022-04-30,-0.9148365199479037
2022-05-31,-5.392520304751356
2022-06-30,-5.548233717840149
2022-07-31,20.27584273504682
2022-08-31,35.79311821668056
2022-09-30,35.66921133700287
2022-10-31,40.27676709847274
2022-11-30,28.8013478928928
2022-12-31,23.034273739016136
2023-01-31,18.057015045617632
2023-02-28,10.752607939072343
2023-03-31,5.706707378283515
2023-04-30,3.6786031716080827
2023-05-31,-2.10660944741705
2023-06-30,-6.608548740241805
2023-07-31,13.360428579095164
2023-08-31,26.424298426324473
2023-09-30,29.361080156697238
2023-10-31,24.1519137439398
2023-11-30,13.65767973032266
2023-12-31,11.025129973329507
2024-01-31,3.943518785706064
2024-02-29,-3.417060479487294
2024-03-31,-9.077466277430663
2024-04-30,-13.968762370308532
2024-05-31,-13.547239830946406
2024-06-30,-8.188790534957686
2024-07-31,5.777977523348453
2024-08-31,26.483269480869318
2024-09-30,36.744086389967514
2024-10-31,31.66210561280988
2024-11-30,26.568843213407384
2024-12-31,20.851415207657396
2025-01-31,11.139503054199842
2025-02-28,6.0502475343209925
